ID;code;Valley;Station;Range;Altitude;Species;DD;Year;harv_num;harv;Date;Ntot1;Ntot;Mtot;oneacorn;VH;H;SH;tot_Germ;M_Germ;N_Germ;rate_Germ
Os01Qu018_251_11;Os01Qu018;Ossau;Josbaig;100;259;Quercus;251;2011;NA;NA;08/09/2011;23;23;9.57;0.416086957;632;14.5;61.86;0;NA;NA;NA
Os01Qu018_276_11;Os01Qu018;Ossau;Josbaig;100;259;Quercus;276;2011;NA;NA;03/10/2011;67;67;35.64;0.531940299;632;14.5;61.86;0;NA;NA;NA
Lu16Qu037_283_11;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;283;2011;NA;NA;10/10/2011;17;17;9.04;0.531764706;760.08;14.56;54.88;0;NA;NA;NA
Os01Qu018_285_11;Os01Qu018;Ossau;Josbaig;100;259;Quercus;285;2011;NA;NA;12/10/2011;0;0;0;NA;632;14.5;61.86;0;NA;NA;NA
Lu16Qu037_286_11;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;286;2011;NA;NA;13/10/2011;20;20;8.78;0.439;760.08;14.56;54.88;0;NA;NA;NA
Os01Qu018_306_11;Os01Qu018;Ossau;Josbaig;100;259;Quercus;306;2011;NA;NA;02/11/2011;1;1;0;NA;632;14.5;61.86;0;NA;NA;NA
Os01Qu018_349_11;Os01Qu018;Ossau;Josbaig;100;259;Quercus;349;2011;NA;NA;15/12/2011;35;35;0;NA;632;14.5;61.86;0;NA;NA;NA
Os01Qu018_261_12;Os01Qu018;Ossau;Josbaig;100;259;Quercus;261;2012;NA;NA;17/09/2012;22;22;15.53;0.705909091;632;14.5;61.86;0;NA;NA;NA
Lu01Qu038_262_12;Lu01Qu038;Luz;Laveyron;100;131;Quercus;262;2012;NA;NA;18/09/2012;0;0;0;NA;1002;23.5;180.31;0;NA;NA;NA
Lu01Qu071_262_12;Lu01Qu071;Luz;Laveyron;100;131;Quercus;262;2012;NA;NA;18/09/2012;0;0;0;NA;416;27.4;83.69;0;NA;NA;NA
Lu08Qu009_263_12;Lu08Qu009;Luz;Papillon;800;803;Quercus;263;2012;NA;NA;19/09/2012;0;0;0;NA;233;10.3;29.54;0;NA;NA;NA
Lu08Qu014_263_12;Lu08Qu014;Luz;Papillon;800;803;Quercus;263;2012;NA;NA;19/09/2012;0;0;0;NA;199;10.3;43.13;0;NA;NA;NA
Lu08Qu018_263_12;Lu08Qu018;Luz;Papillon;800;803;Quercus;263;2012;NA;NA;19/09/2012;0;0;0;NA;254;10.5;28.1;0;NA;NA;NA
Os12Qu012_275_12;Os12Qu012;Ossau;Gabas;1200;1194;Quercus;275;2012;NA;NA;01/10/2012;59;59;20.78;0.35220339;58.77;4.8;12.5;0;NA;NA;NA
Os16Qu006_275_12;Os16Qu006;Ossau;Artouste;1600;1614;Quercus;275;2012;NA;NA;01/10/2012;0;0;0;NA;;;;0;NA;NA;NA
Os01Qu018_275_12;Os01Qu018;Ossau;Josbaig;100;259;Quercus;275;2012;NA;NA;01/10/2012;70;70;96.74;1.382;632;14.5;61.86;0;NA;NA;NA
Lu12Qu001_277_12;Lu12Qu001;Luz;Gedre-Bas;1200;1235;Quercus;277;2012;NA;NA;03/10/2012;4458;4458;6062.36;1.3598;1479;17.5;96.84;0;NA;NA;NA
Lu12Qu008_277_12;Lu12Qu008;Luz;Gedre-Bas;1200;1235;Quercus;277;2012;NA;NA;03/10/2012;685;685;1054.04;1.5461;178;14;49.61;0;NA;NA;NA
Lu12Qu010_277_12;Lu12Qu010;Luz;Gedre-Bas;1200;1235;Quercus;277;2012;NA;NA;03/10/2012;274;274;375.58;1.3905;103;21;48.5;0;NA;NA;NA
Lu03Qu011_278_12;Lu03Qu011;Luz;Ibos;300;387;Quercus;278;2012;NA;NA;04/10/2012;949;949;1032.5;1.0936;402;25.4;46.21;0;NA;NA;NA
Lu03Qu020_278_12;Lu03Qu020;Luz;Ibos;300;387;Quercus;278;2012;NA;NA;04/10/2012;3609;3609;3614.78;1.0016;444;27;78.35;0;NA;NA;NA
Lu03Qu050_278_12;Lu03Qu050;Luz;Ibos;300;387;Quercus;278;2012;NA;NA;04/10/2012;1771;1771;3889.06;2.1957;981;31;99.87;0;NA;NA;NA
Os12Qu012_282_12;Os12Qu012;Ossau;Gabas;1200;1194;Quercus;282;2012;NA;NA;10/10/2012;8;8;3.77;0.47125;58.77;4.8;12.5;0;NA;NA;NA
Os16Qu006_282_12;Os16Qu006;Ossau;Artouste;1600;1614;Quercus;282;2012;NA;NA;10/10/2012;40;40;16.19;0.40475;;;;0;NA;NA;NA
Lu01Qu038_283_12;Lu01Qu038;Luz;Laveyron;100;131;Quercus;283;2012;NA;NA;11/10/2012;351;351;521.91;1.4871;1002;23.5;180.31;0;NA;NA;NA
Lu01Qu071_283_12;Lu01Qu071;Luz;Laveyron;100;131;Quercus;283;2012;NA;NA;11/10/2012;869;869;1125;1.2945;416;27.4;83.69;0;NA;NA;NA
Lu03Qu011_283_12;Lu03Qu011;Luz;Ibos;300;387;Quercus;283;2012;NA;NA;11/10/2012;3060;3060;4241.47;1.3863;402;25.4;46.21;0;NA;NA;NA
Lu03Qu020_283_12;Lu03Qu020;Luz;Ibos;300;387;Quercus;283;2012;NA;NA;11/10/2012;589;589;1385.34;2.3517;444;27;78.35;0;NA;NA;NA
Lu03Qu050_283_12;Lu03Qu050;Luz;Ibos;300;387;Quercus;283;2012;NA;NA;11/10/2012;2281;2281;3732;1.6364;981;31;99.87;0;NA;NA;NA
Lu08Qu009_283_12;Lu08Qu009;Luz;Papillon;800;803;Quercus;283;2012;NA;NA;11/10/2012;290;290;170.03;0.5876;233;10.3;29.54;0;NA;NA;NA
Lu08Qu018_283_12;Lu08Qu018;Luz;Papillon;800;803;Quercus;283;2012;NA;NA;11/10/2012;0;0;0;NA;254;10.5;28.1;0;NA;NA;NA
Lu08Qu014_283_12;Lu08Qu014;Luz;Papillon;800;803;Quercus;283;2012;NA;NA;11/10/2012;203;203;153.5;0.7549;199;10.3;43.13;0;NA;NA;NA
Lu16Qu037_283_12;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;283;2012;NA;NA;11/10/2012;53;53;26.62;0.502264151;760.08;14.56;54.88;0;NA;NA;NA
Lu12Qu001_284_12;Lu12Qu001;Luz;Gedre-Bas;1200;1235;Quercus;284;2012;NA;NA;12/10/2012;5420;5420;5165;0.953;1479;17.5;96.84;0;NA;NA;NA
Lu12Qu008_284_12;Lu12Qu008;Luz;Gedre-Bas;1200;1235;Quercus;284;2012;NA;NA;12/10/2012;770;770;923.66;1.2014;178;14;49.61;0;NA;NA;NA
Lu12Qu010_284_12;Lu12Qu010;Luz;Gedre-Bas;1200;1235;Quercus;284;2012;NA;NA;12/10/2012;284;284;483.6;1.7035;103;21;48.5;0;NA;NA;NA
Os01Qu018_284_12;Os01Qu018;Ossau;Josbaig;100;259;Quercus;284;2012;NA;NA;12/10/2012;38;38;70.6;1.857894737;632;14.5;61.86;0;NA;NA;NA
